X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1817444,5532548,4615,,561901,0,0,0,2,0,Null,2004/2005,KAIRANGA BUNNYTHORPE ROAD,GILLESPIES LINE,,Non-Injury Crash,No,2005,0,East,1,0,0,Flat,1,,0,,0,Bright sun,1795400,0,0,0,2,0,0,0,0,0,,0,0,Manawatu-Wanganui Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,39,Manawatu District,Stop,0,0,0,0,0,0,Open,0,0,0,Fine,Strong wind
1622631,5432003,4616,,582200,0,0,0,0,0,North,2001/2002,Z CPK GUYTON FISHERIES,SH 6/COLLINS,,Non-Injury Crash,No,2002,0,West,0,0,0,Flat,0,,0,,0,Bright sun,2325000,0,0,0,2,0,0,0,0,1,,0,0,Nelson Region,Nil,Off road,Sealed,0,0,0,0,50,0,Null,0,0,,52,Nelson City,Nil,0,0,0,0,1,0,Urban,1,0,0,Fine,Null
1570640,5180016,4617,,591500,0,0,0,0,0,South,2007/2008,COLOMBO ST,HEREFORD ST,,Non-Injury Crash,No,2008,0,South,0,0,0,Flat,0,,0,,0,Bright sun,2651400,0,0,0,2,0,0,0,0,1,,0,0,Canterbury Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,1,0,,60,Christchurch City,Unknown,0,0,0,0,1,0,Urban,0,0,0,Fine,Null
1869131,5713957,4618,,541730,0,,0,2,,North,2008/2009,TAHAREPA ROAD,RANGATIRA ST,,Non-Injury Crash,No,2008,,South,,0,,Flat,,,,,,Bright sun,1271600,0,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,21,Taupo District,Unknown,,,,,0,0,Urban,0,,,Fine,Null
1756269,5913196,4619,,518701,0,,0,1,,Null,2002/2003,CARR ROAD,HAYR ROAD,,Non-Injury Crash,No,2002,,East,,0,,Flat,,,,,,Overcast,569600,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Stop,,,,,1,0,Urban,0,,,Null,Null
1407039,4918359,4620,,603601,0,,0,2,,Null,2007/2008,SH 1S,DUNDAS ST,,Non-Injury Crash,Yes,2008,,South,,0,,Flat,,,,,,Bright sun,2866102,0,0,0,4,,,0,,,,,,Otago Region,Nil,1-way,Sealed,,0,0,,50,,Null,1,0,,71,Dunedin City,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
1432070,4999895,4621,,600826,0,,0,3,,South,2015/2016,SH 1S,WOOLSHED ROAD,,Non-Injury Crash,Yes,2015,,South,,0,,Hill Road,,,,,,Overcast,2831200,0,0,0,2,,,0,,,,,,Otago Region,Nil,2-way,Sealed,,0,0,,100,,Null,0,0,,68,Waitaki District,Unknown,,,,,0,0,Open,0,,,Light rain,Null
1769603,5908513,4622,,523113,0,0,0,2,0,Null,2017/2018,TE IRIRANGI DRIVE,ACCENT DRIVE,,Non-Injury Crash,No,2018,0,North,0,0,0,Flat,0,,0,,0,Dark,711901,0,0,0,4,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,80,0,On,0,0,,76,Auckland,Traffic Signals,0,1,0,1,0,0,Open,0,0,0,Fine,Null
1765445,5441660,4623,,569600,0,,0,2,,Null,2003/2004,SH 2,SH 58,,Non-Injury Crash,Yes,2003,,South,,0,,Flat,,,,,,Dark,1917000,0,0,0,5,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,100,,On,0,0,,46,Lower Hutt City,Traffic Signals,,,,,0,0,Open,0,,,Light rain,Null
1760418,5915697,4624,,516003,0,,0,3,,South,2006/2007,SH 1N,GREENLANE OFF NBD,,Non-Injury Crash,Yes,2006,,North,,0,,Flat,,,,,,Overcast,494902,0,0,0,3,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,100,,Off,0,0,,76,Auckland,Nil,,,,,1,0,Open,0,,,Mist or Fog,Null
1944422,5790000,4625,,542520,0,,0,1,,Null,2001/2002,SH 30,TE RAHU ROAD,,Minor Crash,Yes,2002,,East,,0,,Flat,,,,,,Bright sun,1297701,1,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,100,,Off,0,0,,25,Whakatane District,Give way,,,,,1,0,Open,0,,,Fine,Null
1770726,5898378,4626,,523920,0,,0,2,,Null,2016/2017,GRAHAM ROAD,WAIMANA ROAD,,Non-Injury Crash,No,2017,,South,,0,,Flat,,,,,,Overcast,767503,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,76,Auckland,Give way,,,,,0,0,Urban,0,,,Null,Null
1752853,5914108,4627,,514500,0,,0,1,,West,2012/2013,MAIORO ST,ROSAMUND AVENUE,,Minor Crash,No,2012,,South,,0,,Flat,,,,,,Overcast,376600,1,0,0,4,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1571241,5193806,4628,,586501,0,1,0,0,0,South,2012/2013,SH 1S,TRAM OBR,,Non-Injury Crash,Yes,2013,0,South,0,0,0,Flat,0,,0,,0,Bright sun,2455505,0,0,0,2,0,0,0,0,0,,0,0,Canterbury Region,Bridge,1-way,Sealed,0,0,0,0,100,0,Null,0,0,,59,Waimakariri District,Unknown,0,0,0,0,1,0,Open,1,0,0,Mist or Fog,Null
1866999,5714285,4629,,541710,0,,0,1,,Null,2006/2007,WAIRAKEI DRIVE,NORMAN SMITH ST,,Minor Crash,No,2006,,South,,0,,Hill Road,,,,,,Overcast,1275301,1,0,0,3,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,50,,Off,1,0,,21,Taupo District,Give way,,,,,0,0,Urban,0,,,Fine,Null
1500798.12,5138274.073,4630,,597830,0,,0,2,,Null,2020/2021,BRIDGE STREET,PRINCES STREET,,Non-Injury Crash,No,2020,,North,,0,,Flat,,,,,,Overcast,2733700,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,63,Ashburton District,Give way,,,,,0,0,Urban,0,,,Fine,Null
1799300,5815405,4631,,528900,0,,0,2,,West,2002/2003,HALL ST,KENT ST,,Non-Injury Crash,No,2002,,East,,0,,Flat,,,,,,Overcast,913400,0,0,0,4,,,0,,,,,,Waikato Region,Bridge,2-way,Sealed,,0,0,,50,,Off,0,0,,16,Hamilton City,Traffic Signals,,,,,0,0,Urban,0,,,Light rain,Null
1817192,5459875,4632,,579502,0,,0,2,,North,2018/2019,SH 2,HALFWAY BR,,Minor Crash,Yes,2018,,North,,0,,Flat,,,,,,Bright sun,2262500,1,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,100,,Null,0,0,,49,Carterton District,Unknown,,,,,0,0,Open,1,,,Fine,Null
1750709,5946689,4633,,505806,0,0,0,1,1,Null,2015/2016,HIBISCUS COAST HIGHWAY,WHANGAPARAOA ROAD,,Non-Injury Crash,No,2015,0,East,0,0,0,Flat,0,,0,,0,Dark,176504,0,0,0,4,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,76,Auckland,Traffic Signals,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1756462,5931960,4634,,507500,0,,0,1,,North,2008/2009,KOWHAI ROAD,CHANNEL VIEW ROAD,,Minor Crash,No,2009,,South,,0,,Flat,,,,,,Overcast,149400,1,0,0,2,,,0,,,1,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null
1745764.278,5926165.596,4635,,513410,0,0,0,1,0,South,2019/2020,BRIGHAM CREEK RD,KAURI ROAD,,Non-Injury Crash,No,2019,0,South,0,0,0,Flat,1,,0,,0,Overcast,223801,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,None,0,0,,76,Auckland,Unknown,0,0,0,0,0,0,Urban,0,0,0,Heavy rain,Null
1749420,5944937,4636,,506003,0,0,0,1,1,Null,2006/2007,NEWMAN ROAD,EAST COAST ROAD,,Non-Injury Crash,No,2007,0,South,1,0,0,Hill Road,0,,0,,0,Overcast,175702,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,100,0,Off,0,0,,76,Auckland,Stop,0,0,0,0,0,0,Open,0,0,0,Fine,Null
